UUID                      Nick                 Year              Captain

1959058455              octavio                 2018                other
1069344846                  car                 2018                 kirk
403257462                  car                 2020                other
403257462                  car                 2020                other
403257462                  car                 2020                other
403257462                  car                 2020                other
403257462                  car                 2020                other
403257462                  car                 2020                other
1890659358                weiqi                 2018                 pike
863740679                  abc                 2020                 kirk
863740679                  abc                 2020                 kirk
1409454723               bustos                 2017                other
863740679                  abc                 2020                 kirk
1409454723               bustos                 2017                other
896791741                chair                 2025                 kirk
863740679                  abc                 2020                 kirk
1409454723               bustos                 2017                other
896791741                chair                 2025                 kirk
863740679                  abc                 2020                 kirk
1409454723               bustos                 2017                other
896791741                chair                 2025                 kirk
863740679                  abc                 2020                 kirk
1409454723               bustos                 2017                other
896791741                chair                 2025                 kirk
717574357                weiqi                 2020                 kirk
717574357                weiqi                 2020                 kirk
449289933                weiqi                 2020                 kirk
971008496                  oso                 2021                 kirk
